Mean,SD,Skew,Mean_Sim,SD_Sim,Skew_Sim,Median_RI_Score
-5,0.5,-5,-5,0.503352521135218,-5.1497537848939,0.276566238190247
-4,0.5,-5,-4,0.483892964453437,-4.48726797663465,0.445984748083892
-3,0.5,-5,-3,0.517629487868131,-5.80557623907788,0.64486125919251
-2,0.5,-5,-2,0.518393267871625,-5.25740429628675,0.833941382710727
-1,0.5,-5,-1,0.496416102685736,-4.44606470413548,0.964402170294444
0,0.5,-5,-0.187124958621209,0.477326694411492,-5.01739796766509,0.999994797153525
1,0.5,-5,1,0.518878237783015,-5.60429329558362,0.923452980820742
2,0.5,-5,2,0.491068977290688,-4.57670781166513,0.765692477880934
3,0.5,-5,3,0.486997302028102,-4.55972054785636,0.568334183167924
4,0.5,-5,4,0.487485219832697,-4.96683712882496,0.377125940234947
5,0.5,-5,5,0.493362333927514,-4.88307780423306,0.224206741463687
-5,1,-5,-5,0.977591460607823,-4.49522725132042,0.305087265960407
-4,1,-5,-4,0.990154435546133,-4.64945725409631,0.482769759300132
-3,1,-5,-3,0.979947371083719,-5.032123288526,0.681652541824367
-2,1,-5,-2,1.0201991701566,-4.92157098096282,0.864945726494321
-1,1,-5,-1,0.989706987146863,-4.76641043205336,0.978455224199564
0,1,-5,-0.400562798389962,0.998170839033971,-5.06322748243112,0.999977739404396
1,1,-5,1,0.976097061012628,-5.20981800733853,0.90020989341052
2,1,-5,2,0.932764806596194,-4.48539584252612,0.73157712149174
3,1,-5,3,1.00989033410373,-4.77022617661112,0.528177141472485
4,1,-5,4,0.98181015237217,-4.54971138106368,0.344430706986868
5,1,-5,5,1.03730620693129,-5.16908745406133,0.199875762917137
-5,2,-5,-5,2.09927670406822,-5.1164451450344,0.371666984417302
-4,2,-5,-4,1.92249889175857,-5.35247929779374,0.55078843624196
-3,2,-5,-3,2.11763859291601,-5.09775681416645,0.760900820159007
-2,2,-5,-2,2.02096661303461,-5.16749021046253,0.918005694334513
-1,2,-5,-0.773937037919704,1.95874184017334,-5.37265845041459,0.999922751531057
0,2,-5,3.25948578024093e-17,1.91747994508595,-4.77235527006442,0.96655289270875
1,2,-5,1,1.95106866359677,-4.63912854881796,0.83950023090093
2,2,-5,2,2.09896971541313,-5.50011432002082,0.650226701152896
3,2,-5,3,1.96483674703043,-4.64748387331063,0.454176341886868
4,2,-5,4,1.93907664889588,-4.77761489851747,0.286866482550632
5,2,-5,5,2.05038803801466,-4.80783513840401,0.156506296864048
-5,3,-5,-5,3.03319969992948,-5.99630185429061,0.431752819264903
-4,3,-5,-4,2.94975785816265,-4.97433413627787,0.633453202638062
-3,3,-5,-3,2.87317313863964,-5.01745530085964,0.814584305695228
-2,3,-5,-2,3.10821328002103,-4.8293295292183,0.96425138504188
-1,3,-5,-1.22677933707745,3.12456146793728,-4.84582363747264,0.999802797195007
