Compound Name	Proportion	Count	Total	Score	Truth	Rank
phosphoric acid	0	0	12600	Original	True Positive	1
propylene glycol	0.1591	350	2200	Original	True Positive	1
myristic acid	0.0514	550	10700	Original	True Positive	1
2-hydroxybutyric acid	0	0	13050	Original	True Positive	1
uracil	0	0	4150	Original	True Positive	1
uric acid 1	0	0	1600	Original	True Positive	1
urea	0.0241	100	4150	Original	True Positive	1
isocitric acid	0	0	1700	Original	True Positive	1
galactonic acid	0.2703	500	1850	Original	True Positive	1
2-ketocaproic acid	0	0	2350	Original	True Positive	1
glycine-d5 deuterated	0	0	1600	Original	True Positive	1
catechol	0	0	2200	Original	True Positive	1
glyceric acid	0	0	14950	Original	True Positive	1
citramalic acid	0	0	3000	Original	True Positive	1
trans-aconitic acid	0.0083	50	6000	Original	True Positive	1
fumaric acid	0.2157	550	2550	Original	True Positive	1
oleic acid	0	0	1500	Original	True Positive	1
hippuric acid 2	0	0	1600	Original	True Positive	1
linoleic acid	0	0	1500	Original	True Positive	1
stearic acid	0	0	1500	Original	True Positive	1
Creatinine	0.0172	250	14550	Original	True Positive	1
D-mannitol	0.2509	3400	13550	Original	True Positive	1
DL-3-aminoisobutyric acid 2	0	0	1950	Original	True Positive	1
norvaline 2	0	0	3200	Original	True Positive	1
7-methylxanthine	0	0	2650	Original	True Positive	1
xylitol	0.0036	50	13900	Original	True Positive	1
glycerol	0	0	12500	Original	True Positive	1
carbonate ion	0.0093	100	10700	Original	True Positive	1
iminodiacetic acid 2	0	0	1500	Original	True Positive	1
myo-inositol	0.0385	450	11700	Original	True Positive	1
scyllo-inositol	0.008	100	12500	Original	True Positive	1
arabitol	0	0	2100	Original	True Positive	1
palmitic acid	0	0	4800	Original	True Positive	1
galactitol	0.2358	2700	11450	Original	True Positive	1
D-gluconic acid 3	0.0455	100	2200	Original	True Positive	1
erythritol	0.0068	100	14650	Original	True Positive	1
D-threitol	0.0071	100	14000	Original	True Positive	1
D-saccharic acid	0	0	1600	Original	True Positive	1
D-galacturonic acid 1(M)	0.0323	50	1550	Original	True Positive	1
IS benzoic acid d5	0	0	12950	Original	True Positive	1
IS citric acid d4	0	0	2950	Original	True Positive	1
IS D-fructose 13C6 1(M)	0.0175	50	2850	Original	True Positive	1
IS D-fructose 13C6 2	0.0227	50	2200	Original	True Positive	1
IS L-alanine d7	0	0	13750	Original	True Positive	1
IS octanoic acid d15	0	0	12700	Original	True Positive	1
IS L-tryptophan d5 1	0.0568	250	4400	Original	True Positive	1
IS L-tryptophan d5 2	0.7061	10450	14800	Original	True Positive	1
N-formylglycine 2	0.0323	50	1550	Original	True Positive	1
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	1500	Original	True Positive	1
D-ribose	0.1351	500	3700	Original	True Positive	1
D-xylose 2	0.14	700	5000	Original	True Positive	1
D-arabinose	0.0111	50	4500	Original	True Positive	1
D-lyxose 2	0.3894	4050	10400	Original	True Positive	1
lactose 2	0	0	1600	Original	True Positive	1
ribitol	0	0	4800	Original	True Positive	1
4-hydroxyphenylacetic acid	0.0256	50	1950	Original	True Positive	1
citric acid	0.0664	850	12800	Original	True Positive	1
D-fructose major	0	0	13150	Original	True Positive	1
D-fructose minor	0	0	2800	Original	True Positive	1
D-galactose	0.0164	50	3050	Original	True Positive	1
D-glucose major	0.006	50	8350	Original	True Positive	1
D-glucose minor	0.1188	1800	15150	Original	True Positive	1
D-mannose	0	0	2350	Original	True Positive	1
ethanolamine	0.0367	450	12250	Original	True Positive	1
glycine	0.0513	400	7800	Original	True Positive	1
L-alanine	0.0169	200	11800	Original	True Positive	1
L-aspartic acid	0	0	1600	Original	True Positive	1
L-cysteine	0	0	1950	Original	True Positive	1
L-glutamic acid	0.0086	50	5800	Original	True Positive	1
L-glutamine major	0.1485	2250	15150	Original	True Positive	1
L-glutamine minor 2	0	0	11950	Original	True Positive	1
L-isoleucine	0	0	16800	Original	True Positive	1
L-leucine	0	0	12350	Original	True Positive	1
L-lysine	0	0	1650	Original	True Positive	1
L-methionine	0.0154	50	3250	Original	True Positive	1
L-ornithine	0.0111	50	4500	Original	True Positive	1
L-phenylalanine	0.7038	11050	15700	Original	True Positive	1
L-proline	0.0135	50	3700	Original	True Positive	1
L-pyroglutamic acid	0.0032	50	15850	Original	True Positive	1
L-serine	0	0	19350	Original	True Positive	1
L-threonine	0	0	19900	Original	True Positive	1
L-tyrosine major	0.0077	50	6500	Original	True Positive	1
L-tyrosine minor	0	0	2750	Original	True Positive	1
L-valine	0.0448	150	3350	Original	True Positive	1
lactic acid	0.1818	300	1650	Original	True Positive	1
oxalic acid	0.012	100	8300	Original	True Positive	1
sucrose	0.04	150	3750	Original	True Positive	1
phosphoric acid	0.0079	100	12600	Original	True Positive	5
propylene glycol	1	2200	2200	Original	True Positive	5
myristic acid	0.7804	8350	10700	Original	True Positive	5
2-hydroxybutyric acid	0	0	13050	Original	True Positive	5
uracil	0	0	4150	Original	True Positive	5
uric acid 1	0	0	1600	Original	True Positive	5
urea	0.0602	250	4150	Original	True Positive	5
isocitric acid	0.5588	950	1700	Original	True Positive	5
galactonic acid	0.973	1800	1850	Original	True Positive	5
2-ketocaproic acid	0.9787	2300	2350	Original	True Positive	5
glycine-d5 deuterated	0	0	1600	Original	True Positive	5
catechol	0	0	2200	Original	True Positive	5
glyceric acid	0	0	14950	Original	True Positive	5
citramalic acid	0.9667	2900	3000	Original	True Positive	5
trans-aconitic acid	0.1	600	6000	Original	True Positive	5
fumaric acid	1	2550	2550	Original	True Positive	5
oleic acid	0.9667	1450	1500	Original	True Positive	5
hippuric acid 2	0.0312	50	1600	Original	True Positive	5
linoleic acid	0.1333	200	1500	Original	True Positive	5
stearic acid	0.9	1350	1500	Original	True Positive	5
Creatinine	0.1478	2150	14550	Original	True Positive	5
D-mannitol	0.8007	10850	13550	Original	True Positive	5
DL-3-aminoisobutyric acid 2	1	1950	1950	Original	True Positive	5
norvaline 2	0.0156	50	3200	Original	True Positive	5
7-methylxanthine	0	0	2650	Original	True Positive	5
xylitol	0.0504	700	13900	Original	True Positive	5
glycerol	0.004	50	12500	Original	True Positive	5
carbonate ion	0.0701	750	10700	Original	True Positive	5
iminodiacetic acid 2	0	0	1500	Original	True Positive	5
myo-inositol	0.5812	6800	11700	Original	True Positive	5
scyllo-inositol	0.796	9950	12500	Original	True Positive	5
arabitol	0	0	2100	Original	True Positive	5
palmitic acid	0.7812	3750	4800	Original	True Positive	5
galactitol	0.8253	9450	11450	Original	True Positive	5
D-gluconic acid 3	0.4091	900	2200	Original	True Positive	5
erythritol	0.5836	8550	14650	Original	True Positive	5
D-threitol	0.825	11550	14000	Original	True Positive	5
D-saccharic acid	0.2188	350	1600	Original	True Positive	5
D-galacturonic acid 1(M)	0.0645	100	1550	Original	True Positive	5
IS benzoic acid d5	0	0	12950	Original	True Positive	5
IS citric acid d4	0.7966	2350	2950	Original	True Positive	5
IS D-fructose 13C6 1(M)	0.0702	200	2850	Original	True Positive	5
IS D-fructose 13C6 2	0.0227	50	2200	Original	True Positive	5
IS L-alanine d7	0	0	13750	Original	True Positive	5
IS octanoic acid d15	0	0	12700	Original	True Positive	5
IS L-tryptophan d5 1	1	4400	4400	Original	True Positive	5
IS L-tryptophan d5 2	1	14800	14800	Original	True Positive	5
N-formylglycine 2	0.9677	1500	1550	Original	True Positive	5
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	1500	Original	True Positive	5
D-ribose	0.9865	3650	3700	Original	True Positive	5
D-xylose 2	0.45	2250	5000	Original	True Positive	5
D-arabinose	0.1333	600	4500	Original	True Positive	5
D-lyxose 2	0.9952	10350	10400	Original	True Positive	5
lactose 2	0	0	1600	Original	True Positive	5
ribitol	0.0208	100	4800	Original	True Positive	5
4-hydroxyphenylacetic acid	0.5641	1100	1950	Original	True Positive	5
citric acid	0.8789	11250	12800	Original	True Positive	5
D-fructose major	0.038	500	13150	Original	True Positive	5
D-fructose minor	0.1964	550	2800	Original	True Positive	5
D-galactose	0.1148	350	3050	Original	True Positive	5
D-glucose major	0.5569	4650	8350	Original	True Positive	5
D-glucose minor	0.3234	4900	15150	Original	True Positive	5
D-mannose	0.7447	1750	2350	Original	True Positive	5
ethanolamine	0.1551	1900	12250	Original	True Positive	5
glycine	0.1154	900	7800	Original	True Positive	5
L-alanine	0.8856	10450	11800	Original	True Positive	5
L-aspartic acid	0	0	1600	Original	True Positive	5
L-cysteine	0.0256	50	1950	Original	True Positive	5
L-glutamic acid	0.0172	100	5800	Original	True Positive	5
L-glutamine major	0.9439	14300	15150	Original	True Positive	5
L-glutamine minor 2	1	11950	11950	Original	True Positive	5
L-isoleucine	0.0804	1350	16800	Original	True Positive	5
L-leucine	0.0162	200	12350	Original	True Positive	5
L-lysine	0	0	1650	Original	True Positive	5
L-methionine	0.0154	50	3250	Original	True Positive	5
L-ornithine	0.0111	50	4500	Original	True Positive	5
L-phenylalanine	0.9968	15650	15700	Original	True Positive	5
L-proline	0.0946	350	3700	Original	True Positive	5
L-pyroglutamic acid	0.0032	50	15850	Original	True Positive	5
L-serine	0	0	19350	Original	True Positive	5
L-threonine	0.3015	6000	19900	Original	True Positive	5
L-tyrosine major	0.0077	50	6500	Original	True Positive	5
L-tyrosine minor	0	0	2750	Original	True Positive	5
L-valine	0.5373	1800	3350	Original	True Positive	5
lactic acid	1	1650	1650	Original	True Positive	5
oxalic acid	0.0301	250	8300	Original	True Positive	5
sucrose	0.4933	1850	3750	Original	True Positive	5
myristic acid	0	0	500	Original	True Negative	1
2-hydroxybutyric acid	0	0	850	Original	True Negative	1
uracil	0	0	1250	Original	True Negative	1
uric acid 1	0	0	300	Original	True Negative	1
urea	0	0	1350	Original	True Negative	1
isocitric acid	0	0	400	Original	True Negative	1
galactonic acid	0	0	100	Original	True Negative	1
2-ketocaproic acid	0	0	1300	Original	True Negative	1
glycine-d5 deuterated	0.1	200	2000	Original	True Negative	1
catechol	0.0312	50	1600	Original	True Negative	1
glyceric acid	0	0	1400	Original	True Negative	1
citramalic acid	0	0	450	Original	True Negative	1
trans-aconitic acid	0	0	450	Original	True Negative	1
fumaric acid	0	0	750	Original	True Negative	1
oleic acid	0	0	250	Original	True Negative	1
hippuric acid 2	0	0	500	Original	True Negative	1
linoleic acid	0	0	200	Original	True Negative	1
stearic acid	0	0	250	Original	True Negative	1
Creatinine	0	0	600	Original	True Negative	1
D-mannitol	0	0	1700	Original	True Negative	1
DL-3-aminoisobutyric acid 2	0	0	400	Original	True Negative	1
norvaline 2	0	0	800	Original	True Negative	1
7-methylxanthine	0	0	300	Original	True Negative	1
xylitol	0	0	450	Original	True Negative	1
iminodiacetic acid 2	0	0	1400	Original	True Negative	1
myo-inositol	0	0	150	Original	True Negative	1
scyllo-inositol	0	0	300	Original	True Negative	1
arabitol	0	0	600	Original	True Negative	1
palmitic acid	0	0	50	Original	True Negative	1
galactitol	0	0	1250	Original	True Negative	1
D-gluconic acid 3	0	0	100	Original	True Negative	1
erythritol	0	0	1300	Original	True Negative	1
D-threitol	0	0	1700	Original	True Negative	1
D-saccharic acid	0	0	250	Original	True Negative	1
D-galacturonic acid 1(M)	0	0	1500	Original	True Negative	1
IS benzoic acid d5	0.0056	50	9000	Original	True Negative	1
IS citric acid d4	0.0125	50	4000	Original	True Negative	1
IS D-fructose 13C6 1(M)	0	0	12200	Original	True Negative	1
IS D-fructose 13C6 2	0	0	13200	Original	True Negative	1
IS L-alanine d7	0.0543	250	4600	Original	True Negative	1
IS octanoic acid d15	0.0164	150	9150	Original	True Negative	1
IS L-tryptophan d5 1	0	0	3550	Original	True Negative	1
IS L-tryptophan d5 2	0.2429	850	3500	Original	True Negative	1
N-formylglycine 2	0	0	1050	Original	True Negative	1
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	200	Original	True Negative	1
D-ribose	0	0	200	Original	True Negative	1
D-xylose 2	0	0	100	Original	True Negative	1
D-arabinose	0	0	100	Original	True Negative	1
D-lyxose 2	0.0784	200	2550	Original	True Negative	1
lactose 2	0	0	50	Original	True Negative	1
ribitol	0	0	150	Original	True Negative	1
4-hydroxyphenylacetic acid	0	0	2900	Original	True Negative	1
citric acid	0	0	400	Original	True Negative	1
D-fructose major	0	0	1050	Original	True Negative	1
D-fructose minor	0	0	950	Original	True Negative	1
D-galactose	0	0	700	Original	True Negative	1
D-glucose major	0	0	800	Original	True Negative	1
D-glucose minor	0	0	750	Original	True Negative	1
D-mannose	0	0	550	Original	True Negative	1
ethanolamine	0	0	1650	Original	True Negative	1
glycine	0	0	550	Original	True Negative	1
L-aspartic acid	0	0	200	Original	True Negative	1
L-cysteine	0	0	300	Original	True Negative	1
L-glutamic acid	0	0	350	Original	True Negative	1
L-glutamine minor 2	0	0	450	Original	True Negative	1
L-isoleucine	0	0	650	Original	True Negative	1
L-leucine	0	0	400	Original	True Negative	1
L-lysine	0	0	650	Original	True Negative	1
L-methionine	0	0	350	Original	True Negative	1
L-phenylalanine	0	0	250	Original	True Negative	1
L-proline	0	0	650	Original	True Negative	1
L-pyroglutamic acid	0	0	250	Original	True Negative	1
L-serine	0	0	100	Original	True Negative	1
L-threonine	0	0	100	Original	True Negative	1
L-tyrosine major	0.1176	100	850	Original	True Negative	1
L-tyrosine minor	0	0	350	Original	True Negative	1
lactic acid	0	0	100	Original	True Negative	1
oxalic acid	0	0	800	Original	True Negative	1
myristic acid	0	0	500	Original	True Negative	5
2-hydroxybutyric acid	0	0	850	Original	True Negative	5
uracil	0	0	1250	Original	True Negative	5
uric acid 1	0.1667	50	300	Original	True Negative	5
urea	0	0	1350	Original	True Negative	5
isocitric acid	0	0	400	Original	True Negative	5
galactonic acid	0	0	100	Original	True Negative	5
2-ketocaproic acid	0.1538	200	1300	Original	True Negative	5
glycine-d5 deuterated	0.4	800	2000	Original	True Negative	5
catechol	0.1562	250	1600	Original	True Negative	5
glyceric acid	0	0	1400	Original	True Negative	5
citramalic acid	0.1111	50	450	Original	True Negative	5
