Sample Name	Peak Index	Retention Time	Retention Time Ref	Retention Index	Retention Index Ref	Compound Name
GCMS_FAMEs_01_GCMS02_20170131	7	7.9446	7.812	800	800	[C8] Methyl Caprylate [7.812]
GCMS_FAMEs_01_GCMS02_20170131	9	8.59515	9.248	900	900	[C9] Methyl Pelargonate [9.248]
GCMS_FAMEs_01_GCMS02_20170131	15	10.6969333333333	10.647	1000	1000	[C10] Methyl Caprate [10.647]
GCMS_FAMEs_01_GCMS02_20170131	17	13.2678666666667	13.25	1200	1200	[C12] Methyl Laurate [13.250]
GCMS_FAMEs_01_GCMS02_20170131	18	15.5948333333333	15.597	1400	1400	[C14] Methyl Myristate [15.597]
GCMS_FAMEs_01_GCMS02_20170131	21	17.7091333333333	17.723	1600	1600	[C16] Methyl Palmitate [17.723]
GCMS_FAMEs_01_GCMS02_20170131	27	19.62325	19.663	1800	1800	[C18] Methyl Stearate [19.663]
GCMS_FAMEs_01_GCMS02_20170131	28	21.381	21.441	2000	2000	[C20] Methyl Eicosanoate [21.441]
GCMS_FAMEs_01_GCMS02_20170131	34	24.5024	24.603	2400	2400	[C24] Methyl Linocerate [24.603]
GCMS_FAMEs_01_GCMS02_20170131	35	25.8973166666667	26.023	2600	2600	[C26] Methyl Hexacosanoate [26.023]
GCMS_FAMEs_01_GCMS02_20170131	38	27.2109333333333	27.349	2800	2800	[C28] Methyl Octacosanoate [27.349]
UDN_BG_A_C_Biorec291064_M_012	12	7.67556666666667	7.729	758.645248891963	786.3	[PNNLMET0041] IS L-alanine d7 [7.729]
UDN_BG_A_C_Biorec291064_M_012	13	7.7131	7.536	764.414726001076	772.5	L-alanine [major]
UDN_BG_A_C_Biorec291064_M_012	15	8.05715	7.852	817.300745523019	800.8	[11266] 2-hydroxybutyric acid [7.852]
UDN_BG_A_C_Biorec291064_M_012	19	8.28858333333333	8.139	852.875771782851	820.7	[767] carbonate ion [8.139]
UDN_BG_A_C_Biorec291064_M_012	28	9.68978333333333	9.687	952.081169165867	926.7	[PNNLMET0037] IS benzoic acid d5 [9.687]
UDN_BG_A_C_Biorec291064_M_012	31	9.75858333333333	9.751	955.354579840929	931.4	[PNNLMET0043] IS octanoic acid d15 [9.751]
UDN_BG_A_C_Biorec291064_M_012	37	10.0275666666667	9.876	968.152441973879	946.7	ethanolamine
UDN_BG_A_C_Biorec291064_M_012	38	10.1339	9.941	973.211637736208	949.79	[753] glycerol [9.941]
UDN_BG_A_C_Biorec291064_M_012	40	10.9220666666667	10.735	1017.51374338762	1008.41	[439194] glyceric acid [10.735]
UDN_BG_A_C_Biorec291064_M_012	42	11.31615	11.225	1048.17057359195	1040.3	L-serine [major]
UDN_BG_A_C_Biorec291064_M_012	44	11.6852166666667	11.596	1076.88128824811	1078.6	L-threonine [major]
UDN_BG_A_C_Biorec291064_M_012	51	13.1802333333333	13.128	1193.18276112436	1194.7	[PNNLMET0027] D-threitol [13.128]
UDN_BG_A_C_Biorec291064_M_012	52	13.2803166666667	13.176	1201.07006259938	1199.8	[PNNLMET0026] erythritol [13.176]
UDN_BG_A_C_Biorec291064_M_012	55	13.8433	13.825	1249.45780630005	1252.9	[588] Creatinine [13.825]
UDN_BG_A_C_Biorec291064_M_012	58	14.2874333333333	14.237	1287.6305347448	1289.3	L-glutamine [minor 2]
UDN_BG_A_C_Biorec291064_M_012	60	14.6502333333333	14.585	1318.81276053231	1317.5	L-phenylalanine [major]
UDN_BG_A_C_Biorec291064_M_012	63	15.1819333333333	15.177	1364.51173917403	1364.3	[PNNLMET0078] D-lyxose 2[M] [15.117]
UDN_BG_A_C_Biorec291064_M_012	66	15.8387333333333	15.701	1423.07146573334	1413.3	[6912] xylitol [15.701]
UDN_BG_A_C_Biorec291064_M_012	69	16.2828666666667	16.252	1465.08379447887	1465.5	L-glutamine [major]
UDN_BG_A_C_Biorec291064_M_012	76	16.85835	16.837	1519.52103927226	1520	citric acid
UDN_BG_A_C_Biorec291064_M_012	99	18.0093333333333	17.988	1631.36694907137	1628.6	D-glucose [minor]
UDN_BG_A_C_Biorec291064_M_012	102	18.1156666666667	18.13	1642.47738295297	1643.2	[6251] D-mannitol [18.130]
UDN_BG_A_C_Biorec291064_M_012	123	19.6482166666667	19.707	1802.8407528564	1806.1	[892] myo-inositol [19.707]
UDN_BG_A_C_Biorec291064_M_012	130	20.6553333333333	20.625	1917.43232351965	1916.8	[PNNLMET0047] IS L-tryptophan d5 2 [20.625]
UDN_BG_A_C_Biorec353658_M_023	10	7.68205	7.729	759.641841518715	786.3	[PNNLMET0041] IS L-alanine d7 [7.729]
UDN_BG_A_C_Biorec353658_M_023	11	7.71333333333333	7.536	764.4505930879	772.5	L-alanine [major]
UDN_BG_A_C_Biorec353658_M_023	12	8.05736666666667	7.852	817.33405067507	800.8	[11266] 2-hydroxybutyric acid [7.852]
UDN_BG_A_C_Biorec353658_M_023	27	9.69	9.687	952.091477871966	926.7	[PNNLMET0037] IS benzoic acid d5 [9.687]
UDN_BG_A_C_Biorec353658_M_023	30	9.75881666666667	9.751	955.36568152442	931.4	[PNNLMET0043] IS octanoic acid d15 [9.751]
UDN_BG_A_C_Biorec353658_M_023	34	10.0277833333333	9.876	968.162750679978	946.7	ethanolamine
UDN_BG_A_C_Biorec353658_M_023	36	10.1341333333333	9.941	973.222739419699	949.79	[753] glycerol [9.941]
UDN_BG_A_C_Biorec353658_M_023	38	10.39685	10.225	985.722442053177	969.56	L-isoleucine [major]
UDN_BG_A_C_Biorec353658_M_023	40	10.9223	10.735	1017.53189503164	1008.41	[439194] glyceric acid [10.735]
UDN_BG_A_C_Biorec353658_M_023	41	11.3163833333333	11.225	1048.18872523597	1040.3	L-serine [major]
UDN_BG_A_C_Biorec353658_M_023	42	11.6917	11.596	1077.38564464267	1078.6	L-threonine [major]
UDN_BG_A_C_Biorec353658_M_023	46	13.1804666666667	13.128	1193.20091276839	1194.7	[PNNLMET0027] D-threitol [13.128]
UDN_BG_A_C_Biorec353658_M_023	47	13.28055	13.176	1201.09011732012	1199.8	[PNNLMET0026] erythritol [13.176]
UDN_BG_A_C_Biorec353658_M_023	50	13.8497833333333	13.825	1250.01504104055	1252.9	[588] Creatinine [13.825]
UDN_BG_A_C_Biorec353658_M_023	53	14.2939	14.237	1288.18633700526	1289.3	L-glutamine [minor 2]
UDN_BG_A_C_Biorec353658_M_023	54	14.65045	14.585	1318.831382773	1317.5	L-phenylalanine [major]
UDN_BG_A_C_Biorec353658_M_023	56	15.1821666666667	15.177	1364.53179389477	1364.3	[PNNLMET0078] D-lyxose 2[M] [15.117]
UDN_BG_A_C_Biorec353658_M_023	59	15.8452166666667	15.701	1423.68474987782	1413.3	[6912] xylitol [15.701]
UDN_BG_A_C_Biorec353658_M_023	62	16.2831	16.252	1465.1058664018	1465.5	L-glutamine [major]
UDN_BG_A_C_Biorec353658_M_023	68	16.8585833333333	16.837	1519.54311119519	1520	citric acid
UDN_BG_A_C_Biorec353658_M_023	69	16.93365	16.887	1526.64396411736	1524.35	[11005] myristic acid [16.887]
UDN_BG_A_C_Biorec353658_M_023	92	18.0408333333333	17.988	1634.65828450025	1628.6	D-glucose [minor]
UDN_BG_A_C_Biorec353658_M_023	95	18.1284	18.13	1643.80784870306	1643.2	[6251] D-mannitol [18.130]
UDN_BG_A_C_Biorec353658_M_023	108	19.6547	19.707	1803.57843834447	1806.1	[892] myo-inositol [19.707]
UDN_BG_A_C_Biorec353658_M_023	113	20.65555	20.625	1917.45697624805	1916.8	[PNNLMET0047] IS L-tryptophan d5 2 [20.625]
UDN_BG_A_C_Mayo001_pool_M_030	12	7.68203333333333	7.729	759.639279583942	786.3	[PNNLMET0041] IS L-alanine d7 [7.729]
UDN_BG_A_C_Mayo001_pool_M_030	15	8.05735	7.852	817.331488740297	800.8	[11266] 2-hydroxybutyric acid [7.852]
UDN_BG_A_C_Mayo001_pool_M_030	17	8.29505	8.139	853.869802474829	820.7	[767] carbonate ion [8.139]
UDN_BG_A_C_Mayo001_pool_M_030	21	8.72666666666667	9.151	906.257384601965	891.94	L-valine [major]
UDN_BG_A_C_Mayo001_pool_M_030	27	9.70875	9.687	952.983577438207	926.7	[PNNLMET0037] IS benzoic acid d5 [9.687]
UDN_BG_A_C_Mayo001_pool_M_030	28	9.75878333333333	9.751	955.364095569635	931.4	[PNNLMET0043] IS octanoic acid d15 [9.751]
UDN_BG_A_C_Mayo001_pool_M_030	30	10.0277666666667	9.876	968.161957702586	946.7	ethanolamine
UDN_BG_A_C_Mayo001_pool_M_030	32	10.1341166666667	9.941	973.221946442307	949.79	[753] glycerol [9.941]
UDN_BG_A_C_Mayo001_pool_M_030	34	10.3968333333333	10.225	985.721649075785	969.56	L-isoleucine [major]
UDN_BG_A_C_Mayo001_pool_M_030	36	10.9222833333333	10.735	1017.53059848563	1008.41	[439194] glyceric acid [10.735]
UDN_BG_A_C_Mayo001_pool_M_030	38	11.3226166666667	11.225	1048.67363344051	1040.3	L-serine [major]
UDN_BG_A_C_Mayo001_pool_M_030	39	11.6916833333333	11.596	1077.38434809667	1078.6	L-threonine [major]
UDN_BG_A_C_Mayo001_pool_M_030	44	13.1867	13.128	1193.68582097293	1194.7	[PNNLMET0027] D-threitol [13.128]
UDN_BG_A_C_Mayo001_pool_M_030	45	13.2867833333333	13.176	1201.62586485983	1199.8	[PNNLMET0026] erythritol [13.176]
UDN_BG_A_C_Mayo001_pool_M_030	49	13.8497666666667	13.825	1250.0136085605	1252.9	[588] Creatinine [13.825]
UDN_BG_A_C_Mayo001_pool_M_030	52	14.2938833333333	14.237	1288.1849045252	1289.3	L-glutamine [minor 2]
UDN_BG_A_C_Mayo001_pool_M_030	53	14.6504333333333	14.585	1318.82995029294	1317.5	L-phenylalanine [major]
UDN_BG_A_C_Mayo001_pool_M_030	56	15.1821333333333	15.177	1364.52892893466	1364.3	[PNNLMET0078] D-lyxose 2[M] [15.117]
UDN_BG_A_C_Mayo001_pool_M_030	59	15.8452	15.701	1423.68317331189	1413.3	[6912] xylitol [15.701]
UDN_BG_A_C_Mayo001_pool_M_030	62	16.2955833333333	16.252	1466.28671427896	1465.5	L-glutamine [major]
UDN_BG_A_C_Mayo001_pool_M_030	68	16.84605	16.837	1518.35753362027	1520	citric acid
UDN_BG_A_C_Mayo001_pool_M_030	69	16.9273666666667	16.887	1526.04959876397	1524.35	[11005] myristic acid [16.887]
UDN_BG_A_C_Mayo001_pool_M_030	92	18.0095333333333	17.988	1631.38784643918	1628.6	D-glucose [minor]
UDN_BG_A_C_Mayo001_pool_M_030	95	18.1096166666667	18.13	1641.84523757695	1643.2	[6251] D-mannitol [18.130]
UDN_BG_A_C_Mayo001_pool_M_030	96	18.1909333333333	18.196	1650.34175903593	1651.6	[PNNLMET0022] galactitol [18.196]
UDN_BG_A_C_Mayo001_pool_M_030	110	19.0541666666667	19.101	1740.53828136564	1743.3	[892] scyllo-inositol [19.101]
UDN_BG_A_C_Mayo001_pool_M_030	119	19.6984666666667	19.707	1808.55828947992	1806.1	[892] myo-inositol [19.707]
UDN_BG_A_C_Mayo001_pool_M_030	125	20.6617833333333	20.625	1918.16621628028	1916.8	[PNNLMET0047] IS L-tryptophan d5 2 [20.625]
UDN_BG_A_C_Mayo001_pool_M_030	134	24.2961166666667	24.412	2372.51906702044	2376.1	sucrose
UDN_BG_A_C_Mayo011_pool_M_001	13	7.68816666666667	7.729	760.582071580458	786.3	[PNNLMET0041] IS L-alanine d7 [7.729]
UDN_BG_A_C_Mayo011_pool_M_001	14	7.71945	7.536	765.390823149643	772.5	L-alanine [major]
UDN_BG_A_C_Mayo011_pool_M_001	17	8.06348333333333	7.852	818.274280736813	800.8	[11266] 2-hydroxybutyric acid [7.852]
UDN_BG_A_C_Mayo011_pool_M_001	19	8.28866666666667	8.139	852.888581456716	820.7	[767] carbonate ion [8.139]
UDN_BG_A_C_Mayo011_pool_M_001	28	9.68986666666667	9.687	952.085134052828	926.7	[PNNLMET0037] IS benzoic acid d5 [9.687]
UDN_BG_A_C_Mayo011_pool_M_001	29	9.75866666666667	9.751	955.35854472789	931.4	[PNNLMET0043] IS octanoic acid d15 [9.751]
UDN_BG_A_C_Mayo011_pool_M_001	33	10.02765	9.876	968.15640686084	946.7	ethanolamine
UDN_BG_A_C_Mayo011_pool_M_001	35	10.1339833333333	9.941	973.215602623169	949.79	[753] glycerol [9.941]
UDN_BG_A_C_Mayo011_pool_M_001	37	10.3967166666667	10.225	985.716098234039	969.56	L-isoleucine [major]
UDN_BG_A_C_Mayo011_pool_M_001	39	10.5843666666667	10.456	994.644230692983	992.5	glycine
UDN_BG_A_C_Mayo011_pool_M_001	40	10.92215	10.735	1017.52022611762	1008.41	[439194] glyceric acid [10.735]
UDN_BG_A_C_Mayo011_pool_M_001	42	11.31625	11.225	1048.17835286796	1040.3	L-serine [major]
UDN_BG_A_C_Mayo011_pool_M_001	44	11.6853	11.596	1076.88777097811	1078.6	L-threonine [major]
UDN_BG_A_C_Mayo011_pool_M_001	55	13.1803166666667	13.128	1193.18924385437	1194.7	[PNNLMET0027] D-threitol [13.128]
UDN_BG_A_C_Mayo011_pool_M_001	56	13.2804	13.176	1201.07722499964	1199.8	[PNNLMET0026] erythritol [13.176]
UDN_BG_A_C_Mayo011_pool_M_001	61	13.8496333333333	13.825	1250.00214872008	1252.9	[588] Creatinine [13.825]
UDN_BG_A_C_Mayo011_pool_M_001	64	14.2937666666667	14.237	1288.17487716484	1289.3	L-glutamine [minor 2]
UDN_BG_A_C_Mayo011_pool_M_001	68	14.6503166666667	14.585	1318.81992293257	1317.5	L-phenylalanine [major]
UDN_BG_A_C_Mayo011_pool_M_001	71	15.1820166666667	15.177	1364.5189015743	1364.3	[PNNLMET0078] D-lyxose 2[M] [15.117]
UDN_BG_A_C_Mayo011_pool_M_001	75	15.8388333333333	15.701	1423.08092512888	1413.3	[6912] xylitol [15.701]
UDN_BG_A_C_Mayo011_pool_M_001	78	16.28295	16.252	1465.09167730849	1465.5	L-glutamine [major]
UDN_BG_A_C_Mayo011_pool_M_001	86	16.8521833333333	16.837	1518.93770988034	1520	citric acid
UDN_BG_A_C_Mayo011_pool_M_001	87	16.9397666666667	16.887	1527.22256381151	1524.35	[11005] myristic acid [16.887]
UDN_BG_A_C_Mayo011_pool_M_001	109	18.0407	17.988	1634.64435292171	1628.6	D-glucose [minor]
UDN_BG_A_C_Mayo011_pool_M_001	110	18.1095	18.13	1641.83304744573	1643.2	[6251] D-mannitol [18.130]
UDN_BG_A_C_Mayo011_pool_M_001	111	18.1908166666667	18.196	1650.32956890472	1651.6	[PNNLMET0022] galactitol [18.196]
UDN_BG_A_C_Mayo011_pool_M_001	126	19.0478	19.101	1739.8730484906	1743.3	[892] scyllo-inositol [19.101]
UDN_BG_A_C_Mayo011_pool_M_001	132	19.6483	19.707	1802.85023467501	1806.1	[892] myo-inositol [19.707]
UDN_BG_A_C_Mayo011_pool_M_001	137	20.6554166666667	20.625	1917.44180533826	1916.8	[PNNLMET0047] IS L-tryptophan d5 2 [20.625]
UDN_BG_A_C_Mayo014_pool_M_029	14	7.68191666666667	7.729	759.62134604053	786.3	[PNNLMET0041] IS L-alanine d7 [7.729]
UDN_BG_A_C_Mayo014_pool_M_029	17	8.05723333333333	7.852	817.313555196885	800.8	[11266] 2-hydroxybutyric acid [7.852]
UDN_BG_A_C_Mayo014_pool_M_029	21	8.30118333333333	8.139	854.812594471345	820.7	[767] carbonate ion [8.139]
UDN_BG_A_C_Mayo014_pool_M_029	29	9.68986666666667	9.687	952.085134052828	926.7	[PNNLMET0037] IS benzoic acid d5 [9.687]
UDN_BG_A_C_Mayo014_pool_M_029	30	9.75866666666667	9.751	955.35854472789	931.4	[PNNLMET0043] IS octanoic acid d15 [9.751]
UDN_BG_A_C_Mayo014_pool_M_029	35	10.02765	9.876	968.15640686084	946.7	ethanolamine
UDN_BG_A_C_Mayo014_pool_M_029	37	10.1339833333333	9.941	973.215602623169	949.79	[753] glycerol [9.941]
UDN_BG_A_C_Mayo014_pool_M_029	39	10.4029666666667	10.225	986.01346475612	969.56	L-isoleucine [major]
UDN_BG_A_C_Mayo014_pool_M_029	40	10.9221666666667	10.735	1017.52152266362	1008.41	[439194] glyceric acid [10.735]
UDN_BG_A_C_Mayo014_pool_M_029	41	11.31625	11.225	1048.17835286796	1040.3	L-serine [major]
UDN_BG_A_C_Mayo014_pool_M_029	42	11.6853	11.596	1076.88777097811	1078.6	L-threonine [major]
UDN_BG_A_C_Mayo014_pool_M_029	47	13.1803166666667	13.128	1193.18924385437	1194.7	[PNNLMET0027] D-threitol [13.128]
UDN_BG_A_C_Mayo014_pool_M_029	48	13.2804166666667	13.176	1201.07865747969	1199.8	[PNNLMET0026] erythritol [13.176]
UDN_BG_A_C_Mayo014_pool_M_029	51	13.84965	13.825	1250.00358120013	1252.9	[588] Creatinine [13.825]
UDN_BG_A_C_Mayo014_pool_M_029	54	14.2937666666667	14.237	1288.17487716484	1289.3	L-glutamine [minor 2]
UDN_BG_A_C_Mayo014_pool_M_029	55	14.6503166666667	14.585	1318.81992293257	1317.5	L-phenylalanine [major]
UDN_BG_A_C_Mayo014_pool_M_029	58	15.1820166666667	15.177	1364.5189015743	1364.3	[PNNLMET0078] D-lyxose 2[M] [15.117]
UDN_BG_A_C_Mayo014_pool_M_029	60	15.8388333333333	15.701	1423.08092512888	1413.3	[6912] xylitol [15.701]
UDN_BG_A_C_Mayo014_pool_M_029	64	16.28295	16.252	1465.09167730849	1465.5	L-glutamine [major]
UDN_BG_A_C_Mayo014_pool_M_029	71	16.8521833333333	16.837	1518.93770988034	1520	citric acid
UDN_BG_A_C_Mayo014_pool_M_029	72	16.92725	16.887	1526.0385628025	1524.35	[11005] myristic acid [16.887]
UDN_BG_A_C_Mayo014_pool_M_029	100	18.0219333333333	17.988	1632.68348324292	1628.6	D-glucose [minor]
UDN_BG_A_C_Mayo014_pool_M_029	102	18.1220166666667	18.13	1643.1408743807	1643.2	[6251] D-mannitol [18.130]
UDN_BG_A_C_Mayo014_pool_M_029	115	19.0478	19.101	1739.8730484906	1743.3	[892] scyllo-inositol [19.101]
UDN_BG_A_C_Mayo014_pool_M_029	120	19.6545666666667	19.707	1803.56326743469	1806.1	[892] myo-inositol [19.707]
UDN_BG_A_C_Mayo014_pool_M_029	124	20.6554166666667	20.625	1917.44180533826	1916.8	[PNNLMET0047] IS L-tryptophan d5 2 [20.625]
UDN_BG_A_C_Mayo014_pool_M_029	129	24.296	24.412	2372.50352476215	2376.1	sucrose
UDN_BG_A_C_Mayo015_pool_M_004	9	7.68201666666667	7.729	759.636717649169	786.3	[PNNLMET0041] IS L-alanine d7 [7.729]
UDN_BG_A_C_Mayo015_pool_M_004	10	7.7258	7.536	766.366920298209	772.5	L-alanine [major]
UDN_BG_A_C_Mayo015_pool_M_004	12	8.0636	7.852	818.292214280224	800.8	[11266] 2-hydroxybutyric acid [7.852]
UDN_BG_A_C_Mayo015_pool_M_004	16	8.3013	8.139	854.830528014757	820.7	[767] carbonate ion [8.139]
UDN_BG_A_C_Mayo015_pool_M_004	20	8.72665	9.151	906.256591624573	891.94	L-valine [major]
UDN_BG_A_C_Mayo015_pool_M_004	26	9.70873333333333	9.687	952.982784460815	926.7	[PNNLMET0037] IS benzoic acid d5 [9.687]
UDN_BG_A_C_Mayo015_pool_M_004	27	9.76503333333333	9.751	955.661462091716	931.4	[PNNLMET0043] IS octanoic acid d15 [9.751]
UDN_BG_A_C_Mayo015_pool_M_004	32	10.0277666666667	9.876	968.161957702586	946.7	ethanolamine
UDN_BG_A_C_Mayo015_pool_M_004	34	10.1341	9.941	973.221153464915	949.79	[753] glycerol [9.941]
UDN_BG_A_C_Mayo015_pool_M_004	36	10.3968166666667	10.225	985.720856098393	969.56	L-isoleucine [major]
