Sample Name	Peak Index	Retention Time	Retention Time Ref	Retention Index	Retention Index Ref	Compound Name
GCMS_FAMEs_01_GCMS01_20200310	35	7.83213333333333	7.812	800	800	[C8] Methyl Caprylate [7.812]
GCMS_FAMEs_01_GCMS01_20200310	75	10.5719666666667	10.647	1000	1000	[C10] Methyl Caprate [10.647]
GCMS_FAMEs_01_GCMS01_20200310	98	13.1616666666667	13.25	1200	1200	[C12] Methyl Laurate [13.250]
GCMS_FAMEs_01_GCMS01_20200310	109	15.5261666666667	15.597	1400	1400	[C14] Methyl Myristate [15.597]
GCMS_FAMEs_01_GCMS01_20200310	121	17.6717333333333	17.723	1600	1600	[C16] Methyl Palmitate [17.723]
GCMS_FAMEs_01_GCMS01_20200310	133	19.6233833333333	19.663	1800	1800	[C18] Methyl Stearate [19.663]
GCMS_FAMEs_01_GCMS01_20200310	138	21.40615	21.441	2000	2000	[C20] Methyl Eicosanoate [21.441]
GCMS_FAMEs_01_GCMS01_20200310	143	23.0513	23.082	2200	2200	[C22] Methyl Docosanoate [23.082]
GCMS_FAMEs_01_GCMS01_20200310	148	24.5901	24.603	2400	2400	[C24] Methyl Linocerate [24.603]
GCMS_FAMEs_01_GCMS01_20200310	158	27.4175	27.349	2800	2800	[C28] Methyl Octacosanoate [27.349]
T_reesei_arabinose_PO_01_Met	16	7.03753333333333	6.944	741.996471804854	730	lactic acid
T_reesei_arabinose_PO_01_Met	25	7.5755	7.536	781.266500395401	772.5	L-alanine [major]
T_reesei_arabinose_PO_01_Met	30	7.95081666666667	7.971	808.663544011193	803.6	oxalic acid
T_reesei_arabinose_PO_01_Met	33	8.16975	8.139	824.645051402154	820.7	[767] carbonate ion [8.139]
T_reesei_arabinose_PO_01_Met	44	9.18936666666667	9.151	899.07415292901	891.94	L-valine [major]
T_reesei_arabinose_PO_01_Met	53	9.87745	9.876	949.302268994465	946.7	ethanolamine
T_reesei_arabinose_PO_01_Met	61	10.11515	9.966	966.653689397165	950.63	[1004] phosphoric acid [9.966]
T_reesei_arabinose_PO_01_Met	80	10.822	10.735	1019.30982996744	1008.41	[439194] glyceric acid [10.735]
T_reesei_arabinose_PO_01_Met	82	10.8908	10.777	1024.62318672691	1012.87	[1174] uracil [10.777]
T_reesei_arabinose_PO_01_Met	83	10.9283333333333	10.94	1027.52184937766	1025.3	[444972] fumaric acid [10.94]
T_reesei_arabinose_PO_01_Met	88	11.2035666666667	11.225	1048.7778507163	1040.3	L-serine [major]
T_reesei_arabinose_PO_01_Met	90	11.5788833333333	11.596	1077.7631900735	1078.6	L-threonine [major]
T_reesei_arabinose_PO_01_Met	113	13.0989333333333	13.128	1195.15516597804	1194.7	[PNNLMET0027] D-threitol [13.128]
T_reesei_arabinose_PO_01_Met	116	13.1990166666667	13.176	1203.15923028124	1199.8	[PNNLMET0026] erythritol [13.176]
T_reesei_arabinose_PO_01_Met	118	13.3116166666667	13.218	1212.68344258829	1196.73	L-pyroglutamic acid
T_reesei_arabinose_PO_01_Met	140	14.4751	14.398	1311.09607387045	1297.52	L-glutamic acid [major]
T_reesei_arabinose_PO_01_Met	161	15.2695166666667	15.36	1378.29139352929	1380.2	[PNNLMET0075] D-ribose [15.360]
T_reesei_arabinose_PO_01_Met	176	15.6761166666667	15.701	1413.97765935961	1413.3	[6912] xylitol [15.701]
T_reesei_arabinose_PO_01_Met	180	15.8512666666667	15.92	1430.30434850156	1433.3	[PNNLMET0104] ribitol [15.920]
T_reesei_arabinose_PO_01_Met	221	16.8583666666667	16.837	1524.18164587444	1520	citric acid
T_reesei_arabinose_PO_01_Met	245	17.7653833333333	17.791	1609.59700766018	1608.3	D-glucose [major]
T_reesei_arabinose_PO_01_Met	250	17.95305	17.988	1628.82859802389	1628.6	D-glucose [minor]
T_reesei_arabinose_PO_01_Met	252	18.1031666666667	18.13	1644.21216235835	1643.2	[6251] D-mannitol [18.130]
T_reesei_arabinose_PO_01_Met	266	18.8225333333333	18.8	1717.93098147721	1713.9	[PNNLMET0025] D-gluconic acid 3 [18.800]
T_reesei_arabinose_PO_01_Met	269	18.8976	18.846	1725.6236176227	1720.26	[985] palmitic acid [18.846]
T_reesei_arabinose_PO_01_Met	310	20.5052166666667	20.399	1898.92863152778	1884.92	[5280450] linoleic acid [20.399]
T_reesei_arabinose_PO_01_Met	317	20.6928666666667	20.675	1919.98018061814	1916.02	[5281] stearic acid [20.675]
T_reesei_fructose_PO_13_Met	14	7.019	6.944	740.643591459335	730	lactic acid
T_reesei_fructose_PO_13_Met	20	7.5632	7.536	780.368635561774	772.5	L-alanine [major]
T_reesei_fructose_PO_13_Met	25	7.99481666666667	7.971	811.875418212787	803.6	oxalic acid
T_reesei_fructose_PO_13_Met	27	8.1387	8.139	822.378490175802	820.7	[767] carbonate ion [8.139]
T_reesei_fructose_PO_13_Met	36	9.17708333333333	9.151	898.177504714399	891.94	L-valine [major]
T_reesei_fructose_PO_13_Met	48	9.87141666666667	9.876	948.861852910761	946.7	ethanolamine
T_reesei_fructose_PO_13_Met	57	10.0653333333333	9.966	963.017215159073	950.63	[1004] phosphoric acid [9.966]
T_reesei_fructose_PO_13_Met	68	10.80345	10.735	1017.87723159697	1008.41	[439194] glyceric acid [10.735]
T_reesei_fructose_PO_13_Met	70	10.8785166666667	10.777	1023.67455689848	1012.87	[1174] uracil [10.777]
T_reesei_fructose_PO_13_Met	71	10.91605	10.94	1026.57321954924	1025.3	[444972] fumaric acid [10.94]
T_reesei_fructose_PO_13_Met	75	11.1975333333333	11.225	1048.31190227954	1040.3	L-serine [major]
T_reesei_fructose_PO_13_Met	79	11.5666	11.596	1076.81456024507	1078.6	L-threonine [major]
T_reesei_fructose_PO_13_Met	99	13.09915	13.128	1195.17189893295	1194.7	[PNNLMET0027] D-threitol [13.128]
T_reesei_fructose_PO_13_Met	101	13.1992333333333	13.176	1203.17755691831	1199.8	[PNNLMET0026] erythritol [13.176]
T_reesei_fructose_PO_13_Met	103	13.3118333333333	13.218	1212.70176922535	1196.73	L-pyroglutamic acid
T_reesei_fructose_PO_13_Met	124	14.4753166666667	14.398	1311.11440050751	1297.52	L-glutamic acid [major]
T_reesei_fructose_PO_13_Met	138	15.2885	15.36	1379.89708888419	1380.2	[PNNLMET0075] D-ribose [15.360]
T_reesei_fructose_PO_13_Met	142	15.6450666666667	15.701	1411.08331909208	1413.3	[6912] xylitol [15.701]
T_reesei_fructose_PO_13_Met	145	15.8389666666667	15.92	1429.15779825066	1433.3	[PNNLMET0104] ribitol [15.920]
T_reesei_fructose_PO_13_Met	166	16.8148	16.837	1520.12055867137	1520	citric acid
T_reesei_fructose_PO_13_Met	180	17.5028833333333	17.471	1584.26056830363	1578.7	D-fructose [minor]
T_reesei_fructose_PO_13_Met	184	17.6092333333333	17.571	1594.17403327792	1588.2	D-fructose [major]
T_reesei_fructose_PO_13_Met	186	17.75935	17.791	1608.9787274016	1608.3	D-glucose [major]
T_reesei_fructose_PO_13_Met	191	17.9470166666667	17.988	1628.21031776531	1628.6	D-glucose [minor]
T_reesei_fructose_PO_13_Met	197	18.1409333333333	18.13	1648.0823918223	1643.2	[6251] D-mannitol [18.130]
T_reesei_fructose_PO_13_Met	210	18.8915666666667	18.846	1725.00533736411	1720.26	[985] palmitic acid [18.846]
T_reesei_fructose_PO_13_Met	223	19.6422	19.707	1802.11095114335	1806.1	[892] myo-inositol [19.707]
T_reesei_fructose_PO_13_Met	234	20.4679	20.399	1894.74225454817	1884.92	[5280450] linoleic acid [20.399]
T_reesei_fructose_PO_13_Met	240	20.6805833333333	20.675	1918.60217265299	1916.02	[5281] stearic acid [20.675]
T_reesei_galactose_PO_21_Met	1	6.73128333333333	6.944	719.641097390352	730	lactic acid
T_reesei_galactose_PO_21_Met	3	7.36306666666667	7.536	765.759474420585	772.5	L-alanine [major]
T_reesei_galactose_PO_21_Met	5	7.95106666666667	8.139	808.681793296429	820.7	[767] carbonate ion [8.139]
T_reesei_galactose_PO_21_Met	10	9.08328333333333	9.151	891.330372893728	891.94	L-valine [major]
T_reesei_galactose_PO_21_Met	13	9.48361666666667	9.599	920.553561652169	923.79	[1176] urea [9.599]
T_reesei_galactose_PO_21_Met	17	9.82766666666667	9.876	945.668227994403	946.7	ethanolamine
T_reesei_galactose_PO_21_Met	18	9.89646666666667	9.945	950.690431291441	948.27	L-leucine [major]
T_reesei_galactose_PO_21_Met	20	9.97778333333333	9.966	956.626315469311	950.63	[1004] phosphoric acid [9.966]
T_reesei_galactose_PO_21_Met	21	10.2154833333333	10.225	973.977735872012	969.56	L-isoleucine [major]
T_reesei_galactose_PO_21_Met	24	10.40315	10.456	987.676865989415	992.5	glycine
T_reesei_galactose_PO_21_Met	28	10.8410166666667	10.777	1020.77846854848	1012.87	[1174] uracil [10.777]
T_reesei_galactose_PO_21_Met	30	11.17255	11.225	1046.38246386325	1040.3	L-serine [major]
T_reesei_galactose_PO_21_Met	32	11.5478666666667	11.596	1075.36780322045	1078.6	L-threonine [major]
T_reesei_galactose_PO_21_Met	39	13.18675	13.176	1202.12166067527	1199.8	[PNNLMET0026] erythritol [13.176]
T_reesei_galactose_PO_21_Met	41	13.2743333333333	13.218	1209.52985127229	1196.73	L-pyroglutamic acid
T_reesei_galactose_PO_21_Met	47	15.0445833333333	15.125	1359.2655247762	1359.8	[PNNLMET0076] D-xylose 2[M] [15.125]
