Sample Name	Peak Index	Retention Time	Retention Time Ref	Retention Index	Retention Index Ref	Compound Name
GCMS_FAMEs_01_GCMS02_20160622	20	8.01361666666667	7.812	800	800	[C8] Methyl Caprylate [7.812]
GCMS_FAMEs_01_GCMS02_20160622	24	8.65791666666667	9.248	900	900	[C9] Methyl Pelargonate [9.248]
GCMS_FAMEs_01_GCMS02_20160622	32	10.7284166666667	10.647	1000	1000	[C10] Methyl Caprate [10.647]
GCMS_FAMEs_01_GCMS02_20160622	37	13.2868333333333	13.25	1200	1200	[C12] Methyl Laurate [13.250]
GCMS_FAMEs_01_GCMS02_20160622	41	15.60755	15.597	1400	1400	[C14] Methyl Myristate [15.597]
GCMS_FAMEs_01_GCMS02_20160622	48	17.72185	17.723	1600	1600	[C16] Methyl Palmitate [17.723]
GCMS_FAMEs_01_GCMS02_20160622	57	19.6359666666667	19.663	1800	1800	[C18] Methyl Stearate [19.663]
GCMS_FAMEs_01_GCMS02_20160622	61	21.3874666666667	21.441	2000	2000	[C20] Methyl Eicosanoate [21.441]
GCMS_FAMEs_01_GCMS02_20160622	66	23.0075833333333	23.082	2200	2200	[C22] Methyl Docosanoate [23.082]
GCMS_FAMEs_01_GCMS02_20160622	67	24.50885	24.603	2400	2400	[C24] Methyl Linocerate [24.603]
GCMS_FAMEs_01_GCMS02_20160622	68	25.9037833333333	26.023	2600	2600	[C26] Methyl Hexacosanoate [26.023]
GCMS_FAMEs_01_GCMS02_20160622	72	27.21115	27.349	2800	2800	[C28] Methyl Octacosanoate [27.349]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	18	7.70686666666667	7.536	752.390190904858	772.5	L-alanine [major]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	21	8.06966666666667	7.852	808.699363650473	800.8	[11266] 2-hydroxybutyric acid [7.852]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	22	8.11346666666667	7.971	815.497439081173	803.6	oxalic acid
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	35	9.29571666666667	9.707	930.80415358609	933.23	[159664] 2-ketocaproic acid [9.707]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	36	9.3395	9.468	932.918779682846	915.87	[65098] norvaline 2 [9.468]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	37	9.58345	9.876	944.700957900668	946.7	ethanolamine
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	47	10.1214166666667	9.945	970.683409804395	948.27	L-leucine [major]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	49	10.1964833333333	9.966	974.308943089431	950.63	[1004] phosphoric acid [9.966]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	52	10.4279166666667	10.225	985.486597440232	969.56	L-isoleucine [major]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	53	10.4842166666667	10.341	988.205747404009	975.52	L-proline [major]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	58	10.9471166666667	10.735	1017.09651151428	1008.41	[439194] glyceric acid [10.735]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	60	11.0597166666667	10.94	1025.89883065698	1025.3	[444972] fumaric acid [10.94]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	62	11.34745	11.225	1048.39190905834	1040.3	L-serine [major]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	63	11.5100833333333	11.531	1061.10550144946	1064.1	[PNNLMET0059] N-formylglycine 2[M] [11.531]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	64	11.7165166666667	11.596	1077.24308654441	1078.6	L-threonine [major]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	75	13.3053666666667	13.128	1201.5972077591	1194.7	[PNNLMET0027] D-threitol [13.128]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	76	13.3616666666667	13.188	1206.44915722873	1195.24	L-methionine [major]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	77	13.40545	13.218	1210.22241692581	1196.73	L-pyroglutamic acid
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	78	13.4867666666667	13.321	1217.23030960264	1202.7	L-aspartic acid [major]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	81	13.82455	13.741	1246.34057008252	1240.4	L-cysteine [major]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	82	13.8620833333333	13.825	1249.57520306227	1252.9	[588] Creatinine [13.825]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	88	14.5564166666667	14.398	1309.41304051191	1297.52	L-glutamic acid [major]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	89	14.6690166666667	14.585	1319.11693945118	1317.5	L-phenylalanine [major]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	98	16.2828833333333	16.252	1463.8824512447	1465.5	L-glutamine [major]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	101	16.7895666666667	16.632	1511.81163190339	1495.79	L-ornithine [major]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	103	16.8458666666667	16.807	1517.13727159501	1515.6	[PNNLMET0038] IS citric acid d4 [17.807]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	124	17.8654833333333	17.643	1615.00779297674	1595.81	L-lysine [major]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	130	18.0406333333333	17.856	1633.30866282968	1612.33	L-tyrosine [major]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	139	18.8788333333333	18.846	1720.88953128945	1720.26	[985] palmitic acid [18.846]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	147	20.5239833333333	20.486	1901.40070415834	1901	[PNNLMET0047] IS L-tryptophan d5 1 [20.486]
UDN_Pilot1_P_A_08d9b90a-4051-4e02-a4ab-6cb0a15b09bd_M_004	149	20.66785	20.625	1917.82852792844	1916.8	[PNNLMET0047] IS L-tryptophan d5 2 [20.625]
