Sample Name	Peak Index	Retention Time	Retention Time Ref	Retention Index	Retention Index Ref	Compound Name
GCMS_FAMEs_01_GCMS02_20160607	10	7.93226666666667	7.812	800	800	[C8] Methyl Caprylate [7.812]
GCMS_FAMEs_01_GCMS02_20160607	15	8.58906666666667	9.248	900	900	[C9] Methyl Pelargonate [9.248]
GCMS_FAMEs_01_GCMS02_20160607	27	10.7096166666667	10.647	1000	1000	[C10] Methyl Caprate [10.647]
GCMS_FAMEs_01_GCMS02_20160607	36	13.2743	13.25	1200	1200	[C12] Methyl Laurate [13.250]
GCMS_FAMEs_01_GCMS02_20160607	41	15.5950166666667	15.597	1400	1400	[C14] Methyl Myristate [15.597]
GCMS_FAMEs_01_GCMS02_20160607	47	17.70305	17.723	1600	1600	[C16] Methyl Palmitate [17.723]
GCMS_FAMEs_01_GCMS02_20160607	55	19.6171833333333	19.663	1800	1800	[C18] Methyl Stearate [19.663]
GCMS_FAMEs_01_GCMS02_20160607	59	21.3686666666667	21.441	2000	2000	[C20] Methyl Eicosanoate [21.441]
GCMS_FAMEs_01_GCMS02_20160607	68	22.9887833333333	23.082	2200	2200	[C22] Methyl Docosanoate [23.082]
GCMS_FAMEs_01_GCMS02_20160607	71	24.49005	24.603	2400	2400	[C24] Methyl Linocerate [24.603]
GCMS_FAMEs_01_GCMS02_20160607	74	25.89125	26.023	2600	2600	[C26] Methyl Hexacosanoate [26.023]
GCMS_FAMEs_01_GCMS02_20160607	76	27.1986	27.349	2800	2800	[C28] Methyl Octacosanoate [27.349]
UDN_BG_A_P_QC-NIST_M_034	32	8.157466667	7.971	834.2874543	803.6	oxalic acid
UDN_BG_A_P_QC-NIST_M_034	65	10.11536667	9.945	971.9766098	948.27	L-leucine [major]
UDN_BG_A_P_QC-NIST_M_034	66	10.15915	9.941	974.0413258	949.79	[753] glycerol [9.941]
UDN_BG_A_P_QC-NIST_M_034	69	10.24048333	9.966	977.8768087	950.63	[1004] phosphoric acid [9.966]
UDN_BG_A_P_QC-NIST_M_034	70	10.42188333	10.225	986.4311932	969.56	L-isoleucine [major]
UDN_BG_A_P_QC-NIST_M_034	71	10.47818333	10.341	989.0861648	975.52	L-proline [major]
UDN_BG_A_P_QC-NIST_M_034	76	10.93481667	10.735	1017.561622	1008.41	[439194] glyceric acid [10.735]
UDN_BG_A_P_QC-NIST_M_034	82	11.32265	11.225	1047.805772	1040.3	L-serine [major]
UDN_BG_A_P_QC-NIST_M_034	85	11.6917	11.596	1076.585153	1078.6	L-threonine [major]
UDN_BG_A_P_QC-NIST_M_034	109	13.33685	13.188	1205.390576	1195.24	L-methionine [major]
UDN_BG_A_P_QC-NIST_M_034	111	13.3869	13.218	1209.703899	1196.73	L-pyroglutamic acid
UDN_BG_A_P_QC-NIST_M_034	127	14.53786667	14.398	1308.894523	1297.52	L-glutamic acid [major]
UDN_BG_A_P_QC-NIST_M_034	128	14.64421667	14.585	1318.059795	1317.5	L-phenylalanine [major]
UDN_BG_A_P_QC-NIST_M_034	148	15.96408333	15.97	1435.015259	1438.1	[444212] trans-aconitic acid [15.970]
UDN_BG_A_P_QC-NIST_M_034	152	16.27685	16.252	1464.689047	1465.5	L-glutamine [major]
UDN_BG_A_P_QC-NIST_M_034	158	16.77726667	16.632	1512.166158	1495.79	L-ornithine [major]
UDN_BG_A_P_QC-NIST_M_034	173	17.50288333	17.471	1581.009155	1578.7	[PNNLMET0039] IS D-fructose 13C6 1(M) [17.471]
UDN_BG_A_P_QC-NIST_M_034	179	17.62173333	17.571	1592.285068	1588.2	[PNNLMET0039] IS D-fructose 13C6 2 [17.571]
UDN_BG_A_P_QC-NIST_M_034	196	18.04083333	17.856	1635.293605	1612.33	L-tyrosine [major]
UDN_BG_A_P_QC-NIST_M_034	232	20.51168333	20.486	1902.141994	1901	[PNNLMET0047] IS L-tryptophan d5 1 [20.486]
UDN_BG_A_P_QC-NIST_M_036	8	7.118866667	6.144	676.1571255	678.1	[1030] propylene glycol [6.144]
UDN_BG_A_P_QC-NIST_M_036	24	8.088433333	7.971	823.7768981	803.6	oxalic acid
UDN_BG_A_P_QC-NIST_M_036	53	10.10265	9.945	971.3769227	948.27	L-leucine [major]
