Sample Name	Peak Index	Retention Time	Retention Time Ref	Retention Index	Retention Index Ref	Compound Name
GCMS_FAMEs_01_GCMS01_20180606	25	7.81326666666667	7.812	800	800	[C8] Methyl Caprylate [7.812]
GCMS_FAMEs_01_GCMS01_20180606	65	10.5781	10.647	1000	1000	[C10] Methyl Caprate [10.647]
GCMS_FAMEs_01_GCMS01_20180606	77	13.1865666666667	13.25	1200	1200	[C12] Methyl Laurate [13.250]
GCMS_FAMEs_01_GCMS01_20180606	85	15.5448166666667	15.597	1400	1400	[C14] Methyl Myristate [15.597]
GCMS_FAMEs_01_GCMS01_20180606	96	17.6841333333333	17.723	1600	1600	[C16] Methyl Palmitate [17.723]
GCMS_FAMEs_01_GCMS01_20180606	105	19.6295333333333	19.663	1800	1800	[C18] Methyl Stearate [19.663]
GCMS_FAMEs_01_GCMS01_20180606	112	21.4060333333333	21.441	2000	2000	[C20] Methyl Eicosanoate [21.441]
GCMS_FAMEs_01_GCMS01_20180606	124	23.0511833333333	23.082	2200	2200	[C22] Methyl Docosanoate [23.082]
GCMS_FAMEs_01_GCMS01_20180606	129	24.5899833333333	24.603	2400	2400	[C24] Methyl Linocerate [24.603]
GCMS_FAMEs_01_GCMS01_20180606	139	26.0599833333333	26.023	2600	2600	[C26] Methyl Hexacosanoate [26.023]
GCMS_FAMEs_01_GCMS01_20180606	152	27.4987	27.349	2800	2800	[C28] Methyl Octacosanoate [27.349]
Lp_Purdue_STDmix_01	117	17.6217166666667	17.665	1594.16480340296	1596.1	D-mannose [major]
Lp_Purdue_STDmix_01	120	17.6905333333333	17.74	1600.65796237278	1603.3	D-galactose [major]
Lp_Purdue_STDmix_01	122	17.7530833333333	17.791	1607.08851650046	1608.3	D-glucose [major]
Lp_Purdue_STDmix_01	126	17.9094666666667	17.988	1623.16575854152	1628.6	D-glucose [minor]
Lp_Purdue_STDmix_01	131	18.0908666666667	18.13	1641.81487954491	1643.2	[6251] D-mannitol [18.130]
