Sample Name	Peak Index	Retention Time	Retention Time Ref	Retention Index	Retention Index Ref	Compound Name
GCMS_FAMEs_01_GCMS02_20200821	16	7.98838333333333	7.812	800	800	[C8] Methyl Caprylate [7.812]
GCMS_FAMEs_01_GCMS02_20200821	38	10.7469666666667	10.647	1000	1000	[C10] Methyl Caprate [10.647]
GCMS_FAMEs_01_GCMS02_20200821	56	13.2991333333333	13.25	1200	1200	[C12] Methyl Laurate [13.250]
GCMS_FAMEs_01_GCMS02_20200821	58	15.61985	15.597	1400	1400	[C14] Methyl Myristate [15.597]
GCMS_FAMEs_01_GCMS02_20200821	66	17.7278833333333	17.723	1600	1600	[C16] Methyl Palmitate [17.723]
GCMS_FAMEs_01_GCMS02_20200821	77	19.6357666666667	19.663	1800	1800	[C18] Methyl Stearate [19.663]
GCMS_FAMEs_01_GCMS02_20200821	81	21.3935	21.441	2000	2000	[C20] Methyl Eicosanoate [21.441]
GCMS_FAMEs_01_GCMS02_20200821	87	23.0136166666667	23.082	2200	2200	[C22] Methyl Docosanoate [23.082]
GCMS_FAMEs_01_GCMS02_20200821	89	24.5149	24.603	2400	2400	[C24] Methyl Linocerate [24.603]
GCMS_FAMEs_01_GCMS02_20200821	97	27.22345	27.349	2800	2800	[C28] Methyl Octacosanoate [27.349]
14_uracil__21Aug20_GC02	33	11.0284333333333	10.777	1022.05707568732	1012.87	[1174] uracil [10.777]
16_oxalic_acid__21Aug20_GC02	13	8.13225	7.971	810.430474579343	803.6	oxalic acid
18_CombinedMet__21Aug20_GC02	4	8.13223333333333	7.971	810.429266229647	803.6	oxalic acid
18_CombinedMet__21Aug20_GC02	20	11.0284333333333	10.777	1022.05707568732	1012.87	[1174] uracil [10.777]
18_CombinedMet__21Aug20_GC02	34	16.7770666666667	16.632	1509.79111652251	1495.79	L-ornithine [major]
18_CombinedMet__21Aug20_GC02	56	20.41765	20.399	1888.96495486612	1884.92	[5280450] linoleic acid [20.399]
19_D_Arabitol__21Aug20_GC02	51	15.8386666666667	15.601	1420.76026628295	1400.46	[94154] arabitol [15.601]
20_Dulcitol_Galactitol__21Aug20_GC02	50	18.2156833333333	18.196	1651.13520218742	1651.6	[PNNLMET0022] galactitol [18.196]
21_isoErythritol__21Aug20_GC02	50	13.2927333333333	13.176	1199.49846535623	1199.8	[PNNLMET0026] erythritol [13.176]
22_Glycerol__21Aug20_GC02	25	10.17135	9.941	958.267226535359	949.79	[753] glycerol [9.941]
24_DMannitol__21Aug20_GC02	54	18.1031166666667	18.13	1639.33503970369	1643.2	[6251] D-mannitol [18.130]
25_Ribitol_Adonitol__21Aug20_GC02	46	15.8948666666667	15.92	1426.09225028067	1433.3	[PNNLMET0104] ribitol [15.920]
27_Xylitol__21Aug20_GC02	66	15.7073833333333	15.701	1408.30473901425	1413.3	[6912] xylitol [15.701]
28_CombinedSugar__21Aug20_GC02	16	10.1525333333333	9.941	956.902999728121	949.79	[753] glycerol [9.941]
28_CombinedSugar__21Aug20_GC02	27	13.2927	13.176	1199.49585319663	1199.8	[PNNLMET0026] erythritol [13.176]
28_CombinedSugar__21Aug20_GC02	30	15.70725	15.701	1408.2920889929	1413.3	[6912] xylitol [15.701]
28_CombinedSugar__21Aug20_GC02	31	15.8386	15.601	1420.75394127228	1400.46	[94154] arabitol [15.601]
28_CombinedSugar__21Aug20_GC02	32	15.9011666666667	15.92	1426.68996378931	1433.3	[PNNLMET0104] ribitol [15.920]
28_CombinedSugar__21Aug20_GC02	41	18.1092833333333	18.13	1639.98148034908	1643.2	[6251] D-mannitol [18.130]
28_CombinedSugar__21Aug20_GC02	45	18.2281333333333	18.196	1652.44031343636	1651.6	[PNNLMET0022] galactitol [18.196]
5_Lornithine_major__21Aug20_GC02	60	16.77705	16.632	1509.78953526984	1495.79	L-ornithine [major]
6_linoleic_acid__21Aug20_GC02	53	20.4112333333333	20.399	1888.23484791019	1884.92	[5280450] linoleic acid [20.399]
