Sample Name	Peak Index	Retention Time	Retention Time Ref	Retention Index	Retention Index Ref	Compound Name
GCMS_FAMEs_01_GCMS02_20200615	13	7.9632	7.812	800	800	[C8] Methyl Caprylate [7.812]
GCMS_FAMEs_01_GCMS02_20200615	30	10.6842666666667	10.647	1000	1000	[C10] Methyl Caprate [10.647]
GCMS_FAMEs_01_GCMS02_20200615	44	13.2301666666667	13.25	1200	1200	[C12] Methyl Laurate [13.250]
GCMS_FAMEs_01_GCMS02_20200615	50	15.5446333333333	15.597	1400	1400	[C14] Methyl Myristate [15.597]
GCMS_FAMEs_01_GCMS02_20200615	57	17.6526666666667	17.723	1600	1600	[C16] Methyl Palmitate [17.723]
GCMS_FAMEs_01_GCMS02_20200615	66	19.5605333333333	19.663	1800	1800	[C18] Methyl Stearate [19.663]
GCMS_FAMEs_01_GCMS02_20200615	70	21.3120166666667	21.441	2000	2000	[C20] Methyl Eicosanoate [21.441]
GCMS_FAMEs_01_GCMS02_20200615	76	22.93215	23.082	2200	2200	[C22] Methyl Docosanoate [23.082]
GCMS_FAMEs_01_GCMS02_20200615	81	24.4334166666667	24.603	2400	2400	[C24] Methyl Linocerate [24.603]
GCMS_FAMEs_01_GCMS02_20200615	85	25.82835	26.023	2600	2600	[C26] Methyl Hexacosanoate [26.023]
GCMS_FAMEs_01_GCMS02_20200615	87	27.12945	27.349	2800	2800	[C28] Methyl Octacosanoate [27.349]
11-AA_L-Isoleucine_STD3	28	10.3777666666667	10.225	977.472069776558	969.56	L-isoleucine [major]
12-AA_L-Leucine_STD3	26	10.0714666666667	9.945	954.958839670717	948.27	L-leucine [major]
23-Combined_AA_STD3	8	7.8193	7.536	789.423265386123	772.5	L-alanine [major]
23-Combined_AA_STD3	22	9.32683333333333	9.151	900.227851822815	891.94	L-valine [major]
23-Combined_AA_STD3	30	10.0837166666667	9.945	955.859221873775	948.27	L-leucine [major]
23-Combined_AA_STD3	33	10.3839666666667	10.225	977.927773422187	969.56	L-isoleucine [major]
23-Combined_AA_STD3	48	11.2847333333333	11.225	1047.17126883748	1040.3	L-serine [major]
23-Combined_AA_STD3	50	11.64755	11.596	1075.67330479071	1078.6	L-threonine [major]
23-Combined_AA_STD3	72	13.3239666666667	13.321	1208.10553907308	1202.7	L-aspartic acid [major]
23-Combined_AA_STD3	86	14.5938	14.585	1317.83564248063	1317.5	L-phenylalanine [major]
23-Combined_AA_STD3	111	17.3774	17.345	1573.8840309293	1563.17	L-tyrosine [minor]
23-Combined_AA_STD3	113	17.7277	17.643	1607.86567894332	1595.81	L-lysine [major]
23-Combined_AA_STD3	115	17.9403833333333	17.856	1630.16108742749	1612.33	L-tyrosine [major]
24-S_Sucrose_STD3	78	24.2209	24.412	2371.68835205826	2376.1	sucrose
39-Combined_Disac_STD3	56	24.2146166666667	24.412	2370.85128114037	2376.1	sucrose
4-L-AsparticAcid_STD3	58	13.3052833333333	13.321	1206.49105625486	1202.7	L-aspartic acid [major]
40-D--Arabinose_STD3	56	15.1193666666667	15.198	1363.25143301553	1366.2	[PNNLMET0077] D-arabinose [15.198]
41-Fructose_STD3	51	17.4275333333333	17.471	1578.64043895574	1578.7	D-fructose [minor]
41-Fructose_STD3	53	17.5276166666667	17.571	1588.13586122927	1588.2	D-fructose [major]
42-D-Galactose_STD3	59	17.6401666666667	17.74	1598.81406049873	1603.3	D-galactose [major]
43-D-Glucose_STD3	67	17.6965166666667	17.791	1604.59675728562	1608.3	D-glucose [major]
43-D-Glucose_STD3	70	17.8841666666667	17.988	1624.2679432525	1628.6	D-glucose [minor]
44-D-Mannose_STD3	50	17.5715	17.665	1592.29929950507	1596.1	D-mannose [major]
45-D--Ribose_STD3	55	15.28835	15.36	1377.8537892099	1380.2	[PNNLMET0075] D-ribose [15.360]
46-D-Xylose_STD3	59	15.04415	15.125	1356.75173546101	1359.8	[PNNLMET0076] D-xylose 2[M] [15.125]
47-Combined_Monosac_STD3	58	15.0504666666667	15.125	1357.29757755566	1359.8	[PNNLMET0076] D-xylose 2[M] [15.125]
47-Combined_Monosac_STD3	60	15.1192666666667	15.198	1363.24279171587	1366.2	[PNNLMET0077] D-arabinose [15.198]
47-Combined_Monosac_STD3	62	15.2944166666667	15.36	1378.37802805542	1380.2	[PNNLMET0075] D-ribose [15.360]
47-Combined_Monosac_STD3	70	17.4274666666667	17.471	1578.63411394507	1578.7	D-fructose [minor]
47-Combined_Monosac_STD3	72	17.5400666666667	17.571	1589.31705697253	1588.2	D-fructose [major]
47-Combined_Monosac_STD3	73	17.58385	17.665	1593.47100773233	1596.1	D-mannose [major]
47-Combined_Monosac_STD3	76	17.6526666666667	17.74	1600	1603.3	D-galactose [major]
47-Combined_Monosac_STD3	77	17.7089666666667	17.791	1605.9018799357	1608.3	D-glucose [major]
48-Combined_Mono_Di_STD3	56	15.038	15.125	1356.22029553245	1359.8	[PNNLMET0076] D-xylose 2[M] [15.125]
48-Combined_Mono_Di_STD3	59	15.1193166666667	15.198	1363.2471123657	1366.2	[PNNLMET0077] D-arabinose [15.198]
48-Combined_Mono_Di_STD3	61	15.2882166666667	15.36	1377.84226747703	1380.2	[PNNLMET0075] D-ribose [15.360]
48-Combined_Mono_Di_STD3	68	17.4275333333333	17.471	1578.64043895574	1578.7	D-fructose [minor]
48-Combined_Mono_Di_STD3	71	17.5401166666667	17.571	1589.32180073054	1588.2	D-fructose [major]
48-Combined_Mono_Di_STD3	73	17.5839166666667	17.665	1593.477332743	1596.1	D-mannose [major]
48-Combined_Mono_Di_STD3	76	17.6464666666667	17.74	1599.41177400737	1603.3	D-galactose [major]
48-Combined_Mono_Di_STD3	78	17.7027666666667	17.791	1605.25193933888	1608.3	D-glucose [major]
48-Combined_Mono_Di_STD3	108	24.2145333333333	24.412	2370.84017940406	2376.1	sucrose
49-Combined_Mono_Di_AA_STD3	8	7.69426666666667	7.536	780.233241865935	772.5	L-alanine [major]
49-Combined_Mono_Di_AA_STD3	22	9.27685	9.151	896.55404743238	891.94	L-valine [major]
49-Combined_Mono_Di_AA_STD3	30	10.04625	9.945	953.105399843199	948.27	L-leucine [major]
49-Combined_Mono_Di_AA_STD3	33	10.3777833333333	10.225	977.473294786358	969.56	L-isoleucine [major]
49-Combined_Mono_Di_AA_STD3	37	10.5466833333333	10.456	989.887544100353	992.5	glycine
