Sample Name	Peak Index	Retention Time	Retention Time Ref	Retention Index	Retention Index Ref	Compound Name
GCMS_FAMEs_01_GCMS02_20170922	10	7.91333333333333	7.812	800	800	[C8] Methyl Caprylate [7.812]
GCMS_FAMEs_01_GCMS02_20170922	17	8.5764	9.248	900	900	[C9] Methyl Pelargonate [9.248]
GCMS_FAMEs_01_GCMS02_20170922	25	10.7032	10.647	1000	1000	[C10] Methyl Caprate [10.647]
GCMS_FAMEs_01_GCMS02_20170922	31	13.2741333333333	13.25	1200	1200	[C12] Methyl Laurate [13.250]
GCMS_FAMEs_01_GCMS02_20170922	50	19.6170166666667	19.663	1800	1800	[C18] Methyl Stearate [19.663]
GCMS_FAMEs_01_GCMS02_20170922	54	21.37475	21.441	2000	2000	[C20] Methyl Eicosanoate [21.441]
GCMS_FAMEs_01_GCMS02_20170922	61	22.9948666666667	23.082	2200	2200	[C22] Methyl Docosanoate [23.082]
GCMS_FAMEs_01_GCMS02_20170922	64	24.49615	24.603	2400	2400	[C24] Methyl Linocerate [24.603]
GCMS_FAMEs_01_GCMS02_20170922	68	25.8910833333333	26.023	2600	2600	[C26] Methyl Hexacosanoate [26.023]
UDN_Project01_C1_A_M_004	6	7.0315	6.144	667.006836919364	678.1	[1030] propylene glycol [6.144]
UDN_Project01_C1_A_M_004	20	8.03235	7.852	817.949426905289	800.8	[11266] 2-hydroxybutyric acid [7.852]
UDN_Project01_C1_A_M_004	46	9.89016666666667	9.876	961.771989216977	946.7	ethanolamine
UDN_Project01_C1_A_M_004	47	10.0277833333333	9.945	968.242586671682	948.27	L-leucine [major]
UDN_Project01_C1_A_M_004	52	10.39685	10.225	985.595730675193	969.56	L-isoleucine [major]
UDN_Project01_C1_A_M_004	57	10.9223	10.735	1017.04439373509	1008.41	[439194] glyceric acid [10.735]
UDN_Project01_C1_A_M_004	63	11.3163833333333	11.225	1047.70122393943	1040.3	L-serine [major]
UDN_Project01_C1_A_M_004	66	11.6854333333333	11.596	1076.41064204958	1078.6	L-threonine [major]
UDN_Project01_C1_A_M_004	78	13.1742	13.128	1192.22591017529	1194.7	[PNNLMET0027] D-threitol [13.128]
UDN_Project01_C1_A_M_004	79	13.28055	13.176	1200.5515048203	1199.8	[PNNLMET0026] erythritol [13.176]
UDN_Project01_C1_A_M_004	81	13.3806333333333	13.218	1209.15354753685	1196.73	L-pyroglutamic acid
UDN_Project01_C1_A_M_004	85	13.8372666666667	13.825	1248.40063602114	1252.9	[588] Creatinine [13.825]
UDN_Project01_C1_A_M_004	90	14.2814	14.237	1286.5733644659	1289.3	L-glutamine [minor 2]
UDN_Project01_C1_A_M_004	96	14.6442	14.585	1317.75559025341	1317.5	L-phenylalanine [major]
UDN_Project01_C1_A_M_004	103	15.16965	15.177	1362.91738887536	1364.3	[PNNLMET0078] D-lyxose 2[M] [15.117]
UDN_Project01_C1_A_M_004	112	15.82645	15.701	1421.38011732895	1413.3	[6912] xylitol [15.701]
UDN_Project01_C1_A_M_004	117	16.2580666666667	16.252	1462.32981768157	1465.5	L-glutamine [major]
UDN_Project01_C1_A_M_004	127	16.8273	16.837	1516.33592131687	1520	citric acid
UDN_Project01_C1_A_M_004	128	16.9148833333333	16.887	1524.64540408912	1524.35	[11005] myristic acid [16.887]
UDN_Project01_C1_A_M_004	142	17.5967	17.571	1589.33286949922	1588.2	D-fructose [major]
UDN_Project01_C1_A_M_004	148	17.77185	17.791	1606.57447607733	1608.3	D-glucose [major]
UDN_Project01_C1_A_M_004	154	17.9907833333333	17.988	1629.52486612564	1628.6	D-glucose [minor]
UDN_Project01_C1_A_M_004	156	18.0971333333333	18.13	1640.67334655334	1643.2	[6251] D-mannitol [18.130]
UDN_Project01_C1_A_M_004	158	18.2159833333333	18.196	1653.13217964061	1651.6	[PNNLMET0022] galactitol [18.196]
UDN_Project01_C1_A_M_004	181	19.6359333333333	19.707	1802.15239323371	1806.1	[892] myo-inositol [19.707]
UDN_Project01_C1_A_M_004	187	20.6367833333333	20.625	1916.03201092316	1916.8	[PNNLMET0047] IS L-tryptophan d5 2 [20.625]
UDN_Project01_C1_A_M_008	23	8.03225	7.852	817.934345465514	800.8	[11266] 2-hydroxybutyric acid [7.852]
UDN_Project01_C1_A_M_008	62	9.93386666666667	9.876	963.826719327942	946.7	ethanolamine
UDN_Project01_C1_A_M_008	69	10.4030166666667	10.225	985.885681148517	969.56	L-isoleucine [major]
UDN_Project01_C1_A_M_008	75	10.9222	10.735	1017.03661445908	1008.41	[439194] glyceric acid [10.735]
UDN_Project01_C1_A_M_008	80	11.3162833333333	11.225	1047.69344466342	1040.3	L-serine [major]
UDN_Project01_C1_A_M_008	82	11.68535	11.596	1076.40415931957	1078.6	L-threonine [major]
UDN_Project01_C1_A_M_008	96	13.1803666666667	13.128	1192.70563219583	1194.7	[PNNLMET0027] D-threitol [13.128]
UDN_Project01_C1_A_M_008	97	13.28045	13.176	1200.54290993998	1199.8	[PNNLMET0026] erythritol [13.176]
UDN_Project01_C1_A_M_008	99	13.3868	13.218	1209.68356515636	1196.73	L-pyroglutamic acid
UDN_Project01_C1_A_M_008	103	13.8371666666667	13.825	1248.39204114083	1252.9	[588] Creatinine [13.825]
UDN_Project01_C1_A_M_008	108	14.2813	14.237	1286.56476958558	1289.3	L-glutamine [minor 2]
UDN_Project01_C1_A_M_008	114	14.6441	14.585	1317.74699537309	1317.5	L-phenylalanine [major]
UDN_Project01_C1_A_M_008	119	15.16955	15.177	1362.90879399504	1364.3	[PNNLMET0078] D-lyxose 2[M] [15.117]
UDN_Project01_C1_A_M_008	124	15.8263666666667	15.701	1421.37221106561	1413.3	[6912] xylitol [15.701]
UDN_Project01_C1_A_M_008	130	16.2704833333333	16.252	1463.5078509195	1465.5	L-glutamine [major]
UDN_Project01_C1_A_M_008	139	16.8334666666667	16.837	1516.92098480416	1520	citric acid
UDN_Project01_C1_A_M_008	140	16.9210333333333	16.887	1525.22888632375	1524.35	[11005] myristic acid [16.887]
UDN_Project01_C1_A_M_008	155	17.6028666666667	17.571	1589.91793298651	1588.2	D-fructose [major]
UDN_Project01_C1_A_M_008	162	17.7717666666667	17.791	1606.56574039293	1608.3	D-glucose [major]
UDN_Project01_C1_A_M_008	170	17.9907	17.988	1629.51613044124	1628.6	D-glucose [minor]
UDN_Project01_C1_A_M_008	173	18.1032833333333	18.13	1641.31804006185	1643.2	[6251] D-mannitol [18.130]
UDN_Project01_C1_A_M_008	177	18.2158833333333	18.196	1653.12169681934	1651.6	[PNNLMET0022] galactitol [18.196]
UDN_Project01_C1_A_M_008	192	19.0353333333333	19.101	1739.02317577071	1743.3	[892] scyllo-inositol [19.101]
