Sample Name	Peak Index	Retention Time	Retention Time Ref	Retention Index	Retention Index Ref	Compound Name
GCMS_FAMEs_01_GCMS02_20161222	9	7.90081666666667	7.812	800	800	[C8] Methyl Caprylate [7.812]
GCMS_FAMEs_01_GCMS02_20161222	26	10.7032	10.647	1000	1000	[C10] Methyl Caprate [10.647]
GCMS_FAMEs_01_GCMS02_20161222	37	13.2741333333333	13.25	1200	1200	[C12] Methyl Laurate [13.250]
GCMS_FAMEs_01_GCMS02_20161222	45	15.59485	15.597	1400	1400	[C14] Methyl Myristate [15.597]
GCMS_FAMEs_01_GCMS02_20161222	59	17.7028833333333	17.723	1600	1600	[C16] Methyl Palmitate [17.723]
GCMS_FAMEs_01_GCMS02_20161222	96	21.3684833333333	21.441	2000	2000	[C20] Methyl Eicosanoate [21.441]
GCMS_FAMEs_01_GCMS02_20161222	108	22.9886166666667	23.082	2200	2200	[C22] Methyl Docosanoate [23.082]
GCMS_FAMEs_01_GCMS02_20161222	125	25.8848166666667	26.023	2600	2600	[C26] Methyl Hexacosanoate [26.023]
GCMS_FAMEs_01_GCMS02_20161222	131	27.1921833333333	27.349	2800	2800	[C28] Methyl Octacosanoate [27.349]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	13	7.669483333	7.536	765.4373864	772.5	L-alanine [major]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	17	8.063566667	7.971	824.3158445	803.6	oxalic acid
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	26	8.86425	9.599	913.7884423	923.79	[1176] urea [9.599]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	32	9.302116667	9.468	934.3160083	915.87	[65098] norvaline 2 [9.468]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	36	9.671183333	9.687	951.618171	926.7	[PNNLMET0037] IS benzoic acid d5 [9.687]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	37	9.74625	9.751	955.1373609	931.4	[PNNLMET0043] IS octanoic acid d15 [9.751]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	54	10.62825	10.456	996.4862795	992.5	glycine
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	57	10.7596	10.524	1004.387512	992.28	[289] catechol [10.524]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	59	10.9285	10.735	1017.526709	1008.41	[439194] glyceric acid [10.735]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	61	11.00981667	10.777	1023.852557	1012.87	[1174] uracil [10.777]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	62	11.03483333	10.94	1025.798672	1025.3	[444972] fumaric acid [10.94]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	66	11.32883333	11.225	1048.669744	1040.3	L-serine [major]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	70	11.6979	11.596	1077.380458	1078.6	L-threonine [major]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	83	12.80508333	12.753	1163.511306	1165.9	[439766] citramalic acid [12.753]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	88	13.19291667	13.128	1193.681931	1194.7	[PNNLMET0027] D-threitol [13.128]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	91	13.30551667	13.176	1202.704624	1199.8	[PNNLMET0026] erythritol [13.176]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	93	13.39935	13.218	1210.791207	1196.73	L-pyroglutamic acid
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	109	13.87475	13.825	1251.761309	1252.9	[588] Creatinine [13.825]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	121	14.3001	14.237	1288.418089	1289.3	L-glutamine [minor 2]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	132	14.73171667	14.742	1325.614932	1329.2	4-hydroxyphenylacetic acid
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	141	15.1133	15.125	1358.499889	1359.8	[PNNLMET0076] D-xylose 2[M] [15.125]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	144	15.1821	15.198	1364.429092	1366.2	[PNNLMET0077] D-arabinose [15.198]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	148	15.351	15.36	1378.98494	1380.2	[PNNLMET0075] D-ribose [15.360]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	156	15.7013	15.701	1410.099461	1413.3	[6912] xylitol [15.701]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	160	15.83891667	15.92	1423.155864	1433.3	[PNNLMET0104] ribitol [15.920]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	163	15.97026667	15.97	1435.617716	1438.1	[444212] trans-aconitic acid [15.970]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	171	16.27678333	16.252	1464.698534	1465.5	L-glutamine [major]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	191	16.90231667	16.837	1524.046109	1520	citric acid
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	194	16.97111667	16.87	1530.57352	1523.15	[464] hippuric acid 2 [16.87]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	210	17.49031667	17.471	1579.832703	1578.7	[PNNLMET0039] IS D-fructose 13C6 1(M) [17.471]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	227	18.01575	17.856	1632.690449	1612.33	L-tyrosine [major]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	229	18.09708333	18.13	1641.188712	1643.2	[6251] D-mannitol [18.130]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	232	18.1784	18.207	1649.685233	1652.8	[PNNLMET0029] D-galacturonic acid 1(M) [18.207]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	234	18.22218333	18.196	1654.260015	1651.6	[PNNLMET0022] galactitol [18.196]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	249	18.76013333	18.773	1710.468711	1709.4	[128869] galactonic acid [18.773]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	257	19.03536667	19.101	1739.226972	1743.3	[892] scyllo-inositol [19.101]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	258	19.09166667	19.176	1745.109581	1750.9	[68374] 7-methylxanthine [19.176]
UDN_Project02_U_U1_A_0129a41f-4f7b-4dc5-9edd-262fb962c25c_M_016	290	20.64298333	20.625	1917.155934	1916.8	[PNNLMET0047] IS L-tryptophan d5 2 [20.625]
UDN_Project02_U_U1_A_04931ea2-667a-4a33-b906-e044bef22248_M_030	12	7.669533333	7.536	765.4448567	772.5	L-alanine [major]
UDN_Project02_U_U1_A_04931ea2-667a-4a33-b906-e044bef22248_M_030	18	8.069866667	7.971	825.257103	803.6	oxalic acid
UDN_Project02_U_U1_A_04931ea2-667a-4a33-b906-e044bef22248_M_030	28	8.8643	9.599	913.7907863	923.79	[1176] urea [9.599]
UDN_Project02_U_U1_A_04931ea2-667a-4a33-b906-e044bef22248_M_030	36	9.308416667	9.468	934.6113577	915.87	[65098] norvaline 2 [9.468]
UDN_Project02_U_U1_A_04931ea2-667a-4a33-b906-e044bef22248_M_030	42	9.677483333	9.687	951.9135204	926.7	[PNNLMET0037] IS benzoic acid d5 [9.687]
UDN_Project02_U_U1_A_04931ea2-667a-4a33-b906-e044bef22248_M_030	44	9.7463	9.751	955.139705	931.4	[PNNLMET0043] IS octanoic acid d15 [9.751]
UDN_Project02_U_U1_A_04931ea2-667a-4a33-b906-e044bef22248_M_030	69	10.62203333	10.456	996.1948369	992.5	glycine
UDN_Project02_U_U1_A_04931ea2-667a-4a33-b906-e044bef22248_M_030	71	10.75965	10.524	1004.391401	992.28	[289] catechol [10.524]
UDN_Project02_U_U1_A_04931ea2-667a-4a33-b906-e044bef22248_M_030	75	10.9348	10.735	1018.016803	1008.41	[439194] glyceric acid [10.735]
UDN_Project02_U_U1_A_04931ea2-667a-4a33-b906-e044bef22248_M_030	77	11.01611667	10.777	1024.342651	1012.87	[1174] uracil [10.777]
UDN_Project02_U_U1_A_04931ea2-667a-4a33-b906-e044bef22248_M_030	78	11.0474	10.94	1026.776268	1025.3	[444972] fumaric acid [10.94]
UDN_Project02_U_U1_A_04931ea2-667a-4a33-b906-e044bef22248_M_030	83	11.33513333	11.225	1049.159838	1040.3	L-serine [major]
UDN_Project02_U_U1_A_04931ea2-667a-4a33-b906-e044bef22248_M_030	87	11.69795	11.596	1077.384348	1078.6	L-threonine [major]
UDN_Project02_U_U1_A_04931ea2-667a-4a33-b906-e044bef22248_M_030	97	12.61121667	12.567	1148.429883	1151.5	[64956] DL-3-aminoisobutyric acid 2 [12.567]
UDN_Project02_U_U1_A_04931ea2-667a-4a33-b906-e044bef22248_M_030	100	12.8114	12.753	1164.002697	1165.9	[439766] citramalic acid [12.753]
UDN_Project02_U_U1_A_04931ea2-667a-4a33-b906-e044bef22248_M_030	107	13.18671667	13.128	1193.199616	1194.7	[PNNLMET0027] D-threitol [13.128]
UDN_Project02_U_U1_A_04931ea2-667a-4a33-b906-e044bef22248_M_030	109	13.2993	13.176	1202.16887	1199.8	[PNNLMET0026] erythritol [13.176]
